UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature Difference [k],Any Failure
67,M14926,2,0.3913043478260789,0.3950617283950635,0.2974388824214202,0.342032967032967,0.7154150197628458,0,0,0,0,0,0,0.0037573805689845585,0
68,H29481,0,0.3804347826086953,0.3950617283950635,0.1734575087310826,0.5535714285714285,0.7272727272727272,0,0,0,0,0,0,0.014626945786368195,0
69,L47248,1,0.3804347826086953,0.3950617283950635,0.2089639115250291,0.3928571428571428,0.7470355731225296,0,0,0,0,0,0,0.014626945786368195,0
70,L47249,1,0.3913043478260789,0.4074074074074119,0.1408614668218859,0.8502747252747253,0.7549407114624506,1,0,0,1,1,0,0.016103059581332957,1
71,M14930,2,0.3913043478260789,0.4074074074074119,0.440046565774156,0.2582417582417582,0.7628458498023715,0,0,0,0,0,0,0.016103059581332957,0
72,L47251,1,0.3913043478260789,0.4197530864197603,0.1653084982537834,0.5728021978021978,0.7747035573122529,0,0,0,0,0,0,0.028448738593681355,0
73,L47252,1,0.3913043478260789,0.4197530864197603,0.1169965075669383,0.5576923076923076,0.7826086956521738,0,0,0,0,0,0,0.028448738593681355,0
74,L47253,1,0.4021739130434767,0.4197530864197603,0.2467986030267753,0.4285714285714286,0.7905138339920948,0,0,0,0,0,0,0.017579173376283563,0
75,L47254,1,0.3913043478260789,0.4074074074074119,0.2520372526193248,0.3914835164835165,0.7984189723320158,0,0,0,0,0,0,0.016103059581332957,0
76,L47255,1,0.3804347826086953,0.3950617283950635,0.1228172293364378,0.5892857142857143,0.8063241106719367,0,0,0,0,0,0,0.014626945786368195,0
77,L47256,1,0.3804347826086953,0.3950617283950635,0.1705471478463329,0.6057692307692307,0.8142292490118577,0,0,0,0,0,0,0.014626945786368195,0
78,L47257,1,0.3804347826086953,0.3950617283950635,0.1670547147846333,0.5151098901098901,0.8221343873517786,1,1,0,0,0,0,0.014626945786368195,1
79,L47258,1,0.3804347826086953,0.3950617283950635,0.1338766006984866,0.6552197802197802,0.0,0,0,0,0,0,0,0.014626945786368195,0
80,L47259,1,0.3804347826086953,0.3950617283950635,0.1362048894062864,0.4684065934065933,0.0079051383399209,0,0,0,0,0,0,0.014626945786368195,0
81,H29494,0,0.3804347826086953,0.3827160493827222,0.1612339930151339,0.6332417582417582,0.0158102766798418,0,0,0,0,0,0,0.002281266774026902,0
82,L47261,1,0.3913043478260789,0.3950617283950635,0.1641443538998837,0.6002747252747253,0.0355731225296442,0,0,0,0,0,0,0.0037573805689845585,0
83,L47262,1,0.3913043478260789,0.3950617283950635,0.1658905704307334,0.5082417582417581,0.0434782608695652,0,0,0,0,0,0,0.0037573805689845585,0
84,L47263,1,0.4021739130434767,0.4074074074074119,0.1752037252619325,0.4986263736263737,0.0513833992094861,0,0,0,0,0,0,0.005233494363935165,0
85,L47264,1,0.3913043478260789,0.3950617283950635,0.1478463329452852,0.6016483516483516,0.0592885375494071,0,0,0,0,0,0,0.0037573805689845585,0
86,M14945,2,0.4021739130434767,0.4074074074074119,0.370197904540163,0.315934065934066,0.067193675889328,0,0,0,0,0,0,0.005233494363935165,0
87,H29500,0,0.4021739130434767,0.4074074074074119,0.1559953434225844,0.5508241758241758,0.0790513833992094,0,0,0,0,0,0,0.005233494363935165,0
88,L47267,1,0.4021739130434767,0.4074074074074119,0.2188591385331781,0.3846153846153846,0.0988142292490118,0,0,0,0,0,0,0.005233494363935165,0
89,M14948,2,0.4021739130434767,0.4074074074074119,0.1461001164144354,0.5686813186813187,0.1067193675889328,0,0,0,0,0,0,0.005233494363935165,0
90,M14949,2,0.3913043478260789,0.3950617283950635,0.1856810244470315,0.4903846153846153,0.1185770750988142,0,0,0,0,0,0,0.0037573805689845585,0
91,L47270,1,0.3913043478260789,0.3950617283950635,0.340512223515716,0.3021978021978022,0.1304347826086956,0,0,0,0,0,0,0.0037573805689845585,0
92,L47271,1,0.3913043478260789,0.3950617283950635,0.3853317811408615,0.2898351648351648,0.1383399209486165,0,0,0,0,0,0,0.0037573805689845585,0
93,M14952,2,0.3913043478260789,0.3950617283950635,0.3253783469150174,0.3200549450549451,0.1462450592885375,0,0,0,0,0,0,0.0037573805689845585,0
94,L47273,1,0.4130434782608674,0.4074074074074119,0.1641443538998837,0.5384615384615384,0.1581027667984189,0,0,0,0,0,0,-0.0056360708534555215,0
95,L47274,1,0.4021739130434767,0.3950617283950635,0.2642607683352735,0.385989010989011,0.1660079051383399,0,0,0,0,0,0,-0.007112184648413233,0
96,M14955,2,0.4021739130434767,0.4074074074074119,0.1065192083818393,0.6648351648351648,0.1739130434782608,0,0,0,0,0,0,0.005233494363935165,0
97,M14956,2,0.4021739130434767,0.4074074074074119,0.2369033760186263,0.4326923076923076,0.1857707509881422,0,0,0,0,0,0,0.005233494363935165,0
98,M14957,2,0.3913043478260789,0.3950617283950635,0.3387660069848662,0.3585164835164835,0.1976284584980237,0,0,0,0,0,0,0.0037573805689845585,0
99,L47278,1,0.3913043478260789,0.3827160493827222,0.210128055878929,0.396978021978022,0.2094861660079051,0,0,0,0,0,0,-0.008588298443356734,0
100,L47279,1,0.3804347826086953,0.3827160493827222,0.2066356228172293,0.5576923076923076,0.217391304347826,0,0,0,0,0,0,0.002281266774026902,0
101,L47280,1,0.3804347826086953,0.3950617283950635,0.3981373690337603,0.2912087912087912,0.225296442687747,0,0,0,0,0,0,0.014626945786368195,0
102,L47281,1,0.3804347826086953,0.3827160493827222,0.4790454016298021,0.2321428571428571,0.2332015810276679,0,0,0,0,0,0,0.002281266774026902,0
103,L47282,1,0.3804347826086953,0.3827160493827222,0.2252619324796275,0.5054945054945055,0.2411067193675889,0,0,0,0,0,0,0.002281266774026902,0
104,M14963,2,0.3804347826086953,0.3827160493827222,0.1589057043073342,0.5041208791208791,0.2490118577075098,0,0,0,0,0,0,0.002281266774026902,0
105,L47284,1,0.3804347826086953,0.3703703703703738,0.1641443538998837,0.5439560439560439,0.2608695652173913,0,0,0,0,0,0,-0.010064412238321496,0
106,L47285,1,0.3804347826086953,0.3703703703703738,0.2462165308498254,0.375,0.2687747035573122,0,0,0,0,0,0,-0.010064412238321496,0
107,L47286,1,0.3804347826086953,0.3703703703703738,0.1612339930151339,0.6140109890109889,0.2766798418972331,0,0,0,0,0,0,-0.010064412238321496,0
108,M14967,2,0.3804347826086953,0.3827160493827222,0.1915017462165309,0.5906593406593406,0.2845849802371541,0,0,0,0,0,0,0.002281266774026902,0
109,H29522,0,0.3913043478260789,0.3827160493827222,0.2636786961583237,0.396978021978022,0.2964426877470355,0,0,0,0,0,0,-0.008588298443356734,0
110,L47289,1,0.3913043478260789,0.3703703703703738,0.2351571594877765,0.4162087912087912,0.3162055335968379,0,0,0,0,0,0,-0.020933977455705133,0
111,L47290,1,0.3804347826086953,0.3580246913580325,0.4097788125727591,0.2568681318681319,0.3241106719367588,0,0,0,0,0,0,-0.02241009125066279,0
112,H29525,0,0.3695652173912975,0.3580246913580325,0.1926658905704308,0.5453296703296703,0.3320158102766798,0,0,0,0,0,0,-0.011540526033264997,0
113,M14972,2,0.3804347826086953,0.3703703703703738,0.1920838183934808,0.4903846153846153,0.3517786561264822,0,0,0,0,0,0,-0.010064412238321496,0
114,M14973,2,0.3804347826086953,0.3580246913580325,0.1850989522700815,0.5233516483516483,0.3636363636363636,0,0,0,0,0,0,-0.02241009125066279,0
115,L47294,1,0.3804347826086953,0.3580246913580325,0.2980209545983702,0.3516483516483516,0.375494071146245,0,0,0,0,0,0,-0.02241009125066279,0
116,L47295,1,0.3804347826086953,0.3580246913580325,0.1530849825378347,0.5755494505494505,0.3833992094861659,0,0,0,0,0,0,-0.02241009125066279,0
117,L47296,1,0.3913043478260789,0.3703703703703738,0.230500582072177,0.4162087912087912,0.3913043478260869,0,0,0,0,0,0,-0.020933977455705133,0
118,L47297,1,0.3804347826086953,0.3580246913580325,0.2508731082654249,0.4010989010989011,0.3992094861660079,0,0,0,0,0,0,-0.02241009125066279,0
119,M14978,2,0.3804347826086953,0.3580246913580325,0.3137369033760186,0.3337912087912088,0.4071146245059288,0,0,0,0,0,0,-0.02241009125066279,0
120,L47299,1,0.3695652173912975,0.3456790123456841,0.1740395809080326,0.5068681318681318,0.4189723320158102,0,0,0,0,0,0,-0.023886205045613396,0
121,L47300,1,0.3913043478260789,0.3703703703703738,0.1542491268917346,0.5618131868131868,0.4268774703557312,0,0,0,0,0,0,-0.020933977455705133,0
122,L47301,1,0.3913043478260789,0.3703703703703738,0.2270081490104774,0.5137362637362637,0.4347826086956521,0,0,0,0,0,0,-0.020933977455705133,0
123,L47302,1,0.4021739130434767,0.3827160493827222,0.0826542491268917,0.6442307692307693,0.4426877470355731,0,0,0,0,0,0,-0.019457863660754526,0
124,L47303,1,0.3913043478260789,0.3703703703703738,0.220023282887078,0.5439560439560439,0.450592885375494,0,0,0,0,0,0,-0.020933977455705133,0
125,L47304,1,0.3913043478260789,0.3703703703703738,0.3253783469150174,0.3516483516483516,0.458498023715415,0,0,0,0,0,0,-0.020933977455705133,0
126,L47305,1,0.3913043478260789,0.3580246913580325,0.2281722933643772,0.3901098901098901,0.4664031620553359,0,0,0,0,0,0,-0.033279656468046426,0
127,L47306,1,0.4021739130434767,0.3580246913580325,0.0937136204889407,0.7788461538461537,0.4743083003952569,0,0,0,0,0,0,-0.04414922168544422,0
128,L47307,1,0.3913043478260789,0.3580246913580325,0.1426076833527357,0.5865384615384615,0.4822134387351778,0,0,0,0,0,0,-0.033279656468046426,0
129,L47308,1,0.4021739130434767,0.3580246913580325,0.2438882421420256,0.478021978021978,0.4901185770750987,0,0,0,0,0,0,-0.04414922168544422,0
130,L47309,1,0.3913043478260789,0.3456790123456841,0.2275902211874273,0.4189560439560439,0.4980237154150197,0,0,0,0,0,0,-0.045625335480394824,0
131,L47310,1,0.3804347826086953,0.3333333333333357,0.1775320139697322,0.5123626373626373,0.5059288537549407,0,0,0,0,0,0,-0.047101449275359586,0
132,L47311,1,0.3804347826086953,0.3333333333333357,0.3311990686845169,0.3282967032967033,0.5138339920948616,0,0,0,0,0,0,-0.047101449275359586,0
133,M14992,2,0.3695652173912975,0.3333333333333357,0.1589057043073342,0.5412087912087912,0.5217391304347826,0,0,0,0,0,0,-0.036231884057961794,0
134,M14993,2,0.3695652173912975,0.3333333333333357,0.1525029103608848,0.6291208791208791,0.533596837944664,0,0,0,0,0,0,-0.036231884057961794,0
135,L47314,1,0.3804347826086953,0.3333333333333357,0.1169965075669383,0.6758241758241758,0.5454545454545454,0,0,0,0,0,0,-0.047101449275359586,0
136,M14995,2,0.3804347826086953,0.3456790123456841,0.3160651920838184,0.3392857142857143,0.5533596837944663,0,0,0,0,0,0,-0.03475577026301119,0
137,H29550,0,0.3695652173912975,0.3456790123456841,0.1466821885913853,0.5755494505494505,0.5652173913043478,0,0,0,0,0,0,-0.023886205045613396,0
138,L47317,1,0.3695652173912975,0.3580246913580325,0.0750873108265425,0.7074175824175823,0.5849802371541502,0,0,0,0,0,0,-0.011540526033264997,0
139,H29552,0,0.3804347826086953,0.3580246913580325,0.1635622817229337,0.6263736263736263,0.592885375494071,0,0,0,0,0,0,-0.02241009125066279,0
140,L47319,1,0.3804347826086953,0.3580246913580325,0.0582072176949942,0.7142857142857142,0.6126482213438734,0,0,0,0,0,0,-0.02241009125066279,0
141,L47320,1,0.3804347826086953,0.3580246913580325,0.19965075669383,0.4436813186813187,0.6205533596837944,0,0,0,0,0,0,-0.02241009125066279,0
142,L47321,1,0.3695652173912975,0.3456790123456841,0.2188591385331781,0.4313186813186814,0.6284584980237153,0,0,0,0,0,0,-0.023886205045613396,0
143,M15002,2,0.3586956521739139,0.3333333333333357,0.3550640279394644,0.3351648351648351,0.6363636363636364,0,0,0,0,0,0,-0.025362318840578213,0
144,H29557,0,0.3586956521739139,0.3333333333333357,0.1391152502910361,0.6414835164835164,0.6482213438735177,0,0,0,0,0,0,-0.025362318840578213,0
145,M15004,2,0.3586956521739139,0.3333333333333357,0.1298020954598371,0.5302197802197801,0.6679841897233201,0,0,0,0,0,0,-0.025362318840578213,0
146,L47325,1,0.3478260869565162,0.3333333333333357,0.2008149010477299,0.4093406593406594,0.6798418972332015,0,0,0,0,0,0,-0.014492753623180477,0
147,H29560,0,0.3478260869565162,0.3333333333333357,0.2584400465657742,0.4436813186813187,0.6877470355731224,0,0,0,0,0,0,-0.014492753623180477,0
148,L47327,1,0.3369565217391255,0.3333333333333357,0.2019790454016298,0.4986263736263737,0.7075098814229248,0,0,0,0,0,0,-0.00362318840578979,0
149,M15008,2,0.3260869565217348,0.3209876543209944,0.1228172293364378,0.6071428571428571,0.7154150197628458,0,0,0,0,0,0,-0.0050993022007403965,0
150,L47329,1,0.3369565217391255,0.3209876543209944,0.1775320139697322,0.4958791208791208,0.7272727272727272,0,0,0,0,0,0,-0.015968867418131083,0
151,L47330,1,0.3369565217391255,0.3209876543209944,0.1478463329452852,0.5343406593406593,0.7351778656126482,0,0,0,0,0,0,-0.015968867418131083,0
152,M15011,2,0.3369565217391255,0.308641975308646,0.1717112922002328,0.4642857142857143,0.7430830039525691,0,0,0,0,0,0,-0.02831454643047948,0
153,M15012,2,0.3369565217391255,0.308641975308646,0.2421420256111758,0.510989010989011,0.7549407114624506,0,0,0,0,0,0,-0.02831454643047948,0
154,L47333,1,0.3369565217391255,0.308641975308646,0.3969732246798604,0.3186813186813187,0.7667984189723319,0,0,0,0,0,0,-0.02831454643047948,0
155,L47334,1,0.3369565217391255,0.308641975308646,0.209545983701979,0.4450549450549451,0.7747035573122529,0,0,0,0,0,0,-0.02831454643047948,0
156,H29569,0,0.3369565217391255,0.308641975308646,0.4767171129220023,0.2197802197802198,0.7826086956521738,0,0,0,0,0,0,-0.02831454643047948,0
157,M15016,2,0.3369565217391255,0.2962962962963047,0.190337601862631,0.5796703296703296,0.8023715415019762,0,0,0,0,0,0,-0.040660225442820774,0
158,H29571,0,0.3369565217391255,0.308641975308646,0.180442374854482,0.5453296703296703,0.8142292490118577,0,0,0,0,0,0,-0.02831454643047948,0
159,M15018,2,0.3369565217391255,0.308641975308646,0.1926658905704308,0.4972527472527473,0.83399209486166,0,0,0,0,0,0,-0.02831454643047948,0
160,L47339,1,0.3369565217391255,0.308641975308646,0.1763678696158324,0.5934065934065934,0.8458498023715414,0,0,0,0,0,0,-0.02831454643047948,0
161,L47340,1,0.3369565217391255,0.308641975308646,0.0663562281722933,0.7815934065934066,0.8537549407114624,1,0,0,0,1,0,-0.02831454643047948,1
162,L47341,1,0.3260869565217348,0.2962962962963047,0.1420256111757858,0.6662087912087912,0.8616600790513833,1,0,0,0,1,0,-0.029790660225430088,1
163,L47342,1,0.3260869565217348,0.2962962962963047,0.2433061699650757,0.4354395604395604,0.0,0,0,0,0,0,0,-0.029790660225430088,0
164,M15023,2,0.3369565217391255,0.308641975308646,0.1746216530849825,0.5494505494505494,0.0079051383399209,0,0,0,0,0,0,-0.02831454643047948,0
165,M15024,2,0.3478260869565162,0.3209876543209944,0.1583236321303842,0.5467032967032966,0.0197628458498023,0,0,0,0,0,0,-0.02683843263552177,0
166,L47345,1,0.3478260869565162,0.3333333333333357,0.3288707799767171,0.3049450549450549,0.0316205533596837,0,0,0,0,0,0,-0.014492753623180477,0
167,H29580,0,0.3369565217391255,0.308641975308646,0.2584400465657742,0.3956043956043956,0.0395256916996047,0,0,0,0,0,0,-0.02831454643047948,0
168,H29581,0,0.3369565217391255,0.3209876543209944,0.1688009313154831,0.5370879120879121,0.0592885375494071,0,0,0,0,0,0,-0.015968867418131083,0
169,L47348,1,0.3369565217391255,0.3209876543209944,0.1542491268917346,0.8035714285714285,0.0790513833992094,1,0,0,1,0,0,-0.015968867418131083,1
170,L47349,1,0.3369565217391255,0.3209876543209944,0.0873108265424913,0.7596153846153846,0.0869565217391304,0,0,0,0,0,0,-0.015968867418131083,0
171,M15030,2,0.3369565217391255,0.308641975308646,0.2572759022118743,0.4285714285714286,0.0948616600790513,0,0,0,0,0,0,-0.02831454643047948,0
172,L47351,1,0.3152173913043441,0.2962962962963047,0.1711292200232829,0.6456043956043955,0.1067193675889328,0,0,0,0,0,0,-0.0189210950080394,0
173,M15032,2,0.3043478260869534,0.2839506172839492,0.440046565774156,0.2335164835164835,0.1146245059288537,0,0,0,0,0,0,-0.020397208803004163,0
174,M15033,2,0.3152173913043441,0.2839506172839492,0.2462165308498254,0.4107142857142857,0.1264822134387351,0,0,0,0,0,0,-0.031266774020394905,0
175,L47354,1,0.3152173913043441,0.2962962962963047,0.080325960419092,0.7486263736263735,0.1383399209486165,0,0,0,0,0,0,-0.0189210950080394,0
176,L47355,1,0.3152173913043441,0.2962962962963047,0.1245634458672876,0.5453296703296703,0.1462450592885375,0,0,0,0,0,0,-0.0189210950080394,0
177,L47356,1,0.3152173913043441,0.2962962962963047,0.2619324796274739,0.4244505494505495,0.1541501976284585,0,0,0,0,0,0,-0.0189210950080394,0
178,L47357,1,0.3152173913043441,0.308641975308646,0.4772991850989524,0.2417582417582417,0.1620553359683794,0,0,0,0,0,0,-0.006575415995698108,0
179,L47358,1,0.3152173913043441,0.308641975308646,0.1559953434225844,0.6373626373626373,0.1699604743083003,0,0,0,0,0,0,-0.006575415995698108,0
180,L47359,1,0.3152173913043441,0.3209876543209944,0.0791618160651921,0.6318681318681317,0.1778656126482213,0,0,0,0,0,0,0.00577026301665029,0
181,L47360,1,0.3152173913043441,0.3209876543209944,0.1786961583236321,0.6332417582417582,0.1857707509881422,0,0,0,0,0,0,0.00577026301665029,0
