UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
58,L47237,1,0.38043478260869534,0.4197530864197603,0.20081490104772992,0.5013736263736263,0.6324110671936758,0,0,0,0,0,0
59,M14918,2,0.38043478260869534,0.4074074074074119,0.28696158323632137,0.35302197802197804,0.6403162055335968,0,0,0,0,0,0
60,L47239,1,0.38043478260869534,0.4197530864197603,0.12223515715948785,0.695054945054945,0.6521739130434783,0,0,0,0,0,0
61,L47240,1,0.38043478260869534,0.4197530864197603,0.130966239813737,0.6703296703296703,0.6600790513833992,0,0,0,0,0,0
62,M14921,2,0.38043478260869534,0.4074074074074119,0.24679860302677536,0.47252747252747257,0.6679841897233201,0,0,0,0,0,0
63,L47242,1,0.38043478260869534,0.4074074074074119,0.3847497089639115,0.2623626373626374,0.6798418972332015,0,0,0,0,0,0
64,M14923,2,0.3913043478260789,0.4074074074074119,0.37485448195576254,0.30357142857142855,0.6877470355731224,0,0,0,0,0,0
65,L47244,1,0.4021739130434767,0.4197530864197603,0.20663562281722936,0.47802197802197804,0.6996047430830039,0,0,0,0,0,0
66,L47245,1,0.4021739130434767,0.4197530864197603,0.13154831199068684,0.5673076923076923,0.7075098814229248,0,0,0,0,0,0
67,M14926,2,0.3913043478260789,0.3950617283950635,0.29743888242142025,0.34203296703296704,0.7154150197628458,0,0,0,0,0,0
68,H29481,0,0.38043478260869534,0.3950617283950635,0.17345750873108268,0.5535714285714285,0.7272727272727272,0,0,0,0,0,0
69,L47248,1,0.38043478260869534,0.3950617283950635,0.20896391152502913,0.39285714285714285,0.7470355731225296,0,0,0,0,0,0
70,L47249,1,0.3913043478260789,0.4074074074074119,0.14086146682188594,0.8502747252747253,0.7549407114624506,1,0,0,1,1,0
71,M14930,2,0.3913043478260789,0.4074074074074119,0.440046565774156,0.25824175824175827,0.7628458498023715,0,0,0,0,0,0
72,L47251,1,0.3913043478260789,0.4197530864197603,0.16530849825378346,0.5728021978021978,0.7747035573122529,0,0,0,0,0,0
73,L47252,1,0.3913043478260789,0.4197530864197603,0.11699650756693836,0.5576923076923076,0.7826086956521738,0,0,0,0,0,0
74,L47253,1,0.4021739130434767,0.4197530864197603,0.24679860302677536,0.4285714285714286,0.7905138339920948,0,0,0,0,0,0
75,L47254,1,0.3913043478260789,0.4074074074074119,0.25203725261932486,0.3914835164835165,0.7984189723320158,0,0,0,0,0,0
76,L47255,1,0.38043478260869534,0.3950617283950635,0.1228172293364378,0.5892857142857143,0.8063241106719367,0,0,0,0,0,0
77,L47256,1,0.38043478260869534,0.3950617283950635,0.17054714784633296,0.6057692307692307,0.8142292490118577,0,0,0,0,0,0
78,L47257,1,0.38043478260869534,0.3950617283950635,0.1670547147846333,0.5151098901098901,0.8221343873517786,1,1,0,0,0,0
79,L47258,1,0.38043478260869534,0.3950617283950635,0.13387660069848661,0.6552197802197802,0.0,0,0,0,0,0,0
80,L47259,1,0.38043478260869534,0.3950617283950635,0.1362048894062864,0.46840659340659335,0.007905138339920948,0,0,0,0,0,0
81,H29494,0,0.38043478260869534,0.3827160493827222,0.16123399301513397,0.6332417582417582,0.015810276679841896,0,0,0,0,0,0
82,L47261,1,0.3913043478260789,0.3950617283950635,0.1641443538998837,0.6002747252747253,0.035573122529644265,0,0,0,0,0,0
83,L47262,1,0.3913043478260789,0.3950617283950635,0.1658905704307334,0.5082417582417581,0.043478260869565216,0,0,0,0,0,0
84,L47263,1,0.4021739130434767,0.4074074074074119,0.1752037252619325,0.4986263736263737,0.05138339920948616,0,0,0,0,0,0
85,L47264,1,0.3913043478260789,0.3950617283950635,0.14784633294528526,0.6016483516483516,0.05928853754940711,0,0,0,0,0,0
86,M14945,2,0.4021739130434767,0.4074074074074119,0.370197904540163,0.315934065934066,0.06719367588932806,0,0,0,0,0,0
87,H29500,0,0.4021739130434767,0.4074074074074119,0.15599534342258448,0.5508241758241758,0.07905138339920947,0,0,0,0,0,0
88,L47267,1,0.4021739130434767,0.4074074074074119,0.21885913853317818,0.38461538461538464,0.09881422924901186,0,0,0,0,0,0
89,M14948,2,0.4021739130434767,0.4074074074074119,0.14610011641443543,0.5686813186813187,0.1067193675889328,0,0,0,0,0,0
90,M14949,2,0.3913043478260789,0.3950617283950635,0.1856810244470315,0.49038461538461536,0.11857707509881422,0,0,0,0,0,0
91,L47270,1,0.3913043478260789,0.3950617283950635,0.340512223515716,0.30219780219780223,0.13043478260869565,0,0,0,0,0,0
92,L47271,1,0.3913043478260789,0.3950617283950635,0.38533178114086153,0.2898351648351648,0.13833992094861658,0,0,0,0,0,0
93,M14952,2,0.3913043478260789,0.3950617283950635,0.32537834691501744,0.3200549450549451,0.14624505928853754,0,0,0,0,0,0
94,L47273,1,0.4130434782608674,0.4074074074074119,0.1641443538998837,0.5384615384615384,0.15810276679841895,0,0,0,0,0,0
95,L47274,1,0.4021739130434767,0.3950617283950635,0.26426076833527357,0.385989010989011,0.1660079051383399,0,0,0,0,0,0
96,M14955,2,0.4021739130434767,0.4074074074074119,0.10651920838183937,0.6648351648351648,0.17391304347826086,0,0,0,0,0,0
97,M14956,2,0.4021739130434767,0.4074074074074119,0.23690337601862632,0.43269230769230765,0.18577075098814227,0,0,0,0,0,0
98,M14957,2,0.3913043478260789,0.3950617283950635,0.33876600698486625,0.3585164835164835,0.1976284584980237,0,0,0,0,0,0
99,L47278,1,0.3913043478260789,0.3827160493827222,0.21012805587892902,0.396978021978022,0.20948616600790512,0,0,0,0,0,0
100,L47279,1,0.38043478260869534,0.3827160493827222,0.20663562281722936,0.5576923076923076,0.21739130434782608,0,0,0,0,0,0
101,L47280,1,0.38043478260869534,0.3950617283950635,0.3981373690337603,0.29120879120879123,0.225296442687747,0,0,0,0,0,0
102,L47281,1,0.38043478260869534,0.3827160493827222,0.47904540162980214,0.23214285714285715,0.23320158102766797,0,0,0,0,0,0
103,L47282,1,0.38043478260869534,0.3827160493827222,0.22526193247962756,0.5054945054945055,0.24110671936758893,0,0,0,0,0,0
104,M14963,2,0.38043478260869534,0.3827160493827222,0.1589057043073342,0.5041208791208791,0.24901185770750986,0,0,0,0,0,0
105,L47284,1,0.38043478260869534,0.3703703703703738,0.1641443538998837,0.5439560439560439,0.2608695652173913,0,0,0,0,0,0
106,L47285,1,0.38043478260869534,0.3703703703703738,0.24621653084982542,0.37500000000000006,0.26877470355731226,0,0,0,0,0,0
107,L47286,1,0.38043478260869534,0.3703703703703738,0.16123399301513397,0.6140109890109889,0.27667984189723316,0,0,0,0,0,0
108,M14967,2,0.38043478260869534,0.3827160493827222,0.19150174621653093,0.5906593406593406,0.2845849802371541,0,0,0,0,0,0
109,H29522,0,0.3913043478260789,0.3827160493827222,0.26367869615832373,0.396978021978022,0.2964426877470355,0,0,0,0,0,0
110,L47289,1,0.3913043478260789,0.3703703703703738,0.2351571594877765,0.41620879120879123,0.3162055335968379,0,0,0,0,0,0
111,L47290,1,0.38043478260869534,0.3580246913580325,0.40977881257275917,0.2568681318681319,0.32411067193675885,0,0,0,0,0,0
112,H29525,0,0.36956521739129755,0.3580246913580325,0.19266589057043082,0.5453296703296703,0.3320158102766798,0,0,0,0,0,0
113,M14972,2,0.38043478260869534,0.3703703703703738,0.19208381839348088,0.49038461538461536,0.3517786561264822,0,0,0,0,0,0
114,M14973,2,0.38043478260869534,0.3580246913580325,0.18509895227008155,0.5233516483516483,0.3636363636363636,0,0,0,0,0,0
115,L47294,1,0.38043478260869534,0.3580246913580325,0.2980209545983702,0.3516483516483516,0.37549407114624506,0,0,0,0,0,0
116,L47295,1,0.38043478260869534,0.3580246913580325,0.15308498253783476,0.5755494505494505,0.38339920948616596,0,0,0,0,0,0
117,L47296,1,0.3913043478260789,0.3703703703703738,0.23050058207217705,0.41620879120879123,0.3913043478260869,0,0,0,0,0,0
118,L47297,1,0.38043478260869534,0.3580246913580325,0.25087310826542497,0.4010989010989011,0.3992094861660079,0,0,0,0,0,0
119,M14978,2,0.38043478260869534,0.3580246913580325,0.31373690337601867,0.3337912087912088,0.40711462450592883,0,0,0,0,0,0
120,L47299,1,0.36956521739129755,0.3456790123456841,0.17403958090803262,0.5068681318681318,0.41897233201581024,0,0,0,0,0,0
121,L47300,1,0.3913043478260789,0.3703703703703738,0.15424912689173464,0.5618131868131868,0.4268774703557312,0,0,0,0,0,0
122,L47301,1,0.3913043478260789,0.3703703703703738,0.2270081490104774,0.5137362637362637,0.43478260869565216,0,0,0,0,0,0
123,L47302,1,0.4021739130434767,0.3827160493827222,0.08265424912689179,0.6442307692307693,0.4426877470355731,0,0,0,0,0,0
124,L47303,1,0.3913043478260789,0.3703703703703738,0.22002328288707806,0.5439560439560439,0.450592885375494,0,0,0,0,0,0
125,L47304,1,0.3913043478260789,0.3703703703703738,0.32537834691501744,0.3516483516483516,0.458498023715415,0,0,0,0,0,0
126,L47305,1,0.3913043478260789,0.3580246913580325,0.22817229336437728,0.39010989010989017,0.46640316205533594,0,0,0,0,0,0
127,L47306,1,0.4021739130434767,0.3580246913580325,0.09371362048894072,0.7788461538461537,0.4743083003952569,0,0,0,0,0,0
128,L47307,1,0.3913043478260789,0.3580246913580325,0.14260768335273577,0.5865384615384615,0.48221343873517786,0,0,0,0,0,0
129,L47308,1,0.4021739130434767,0.3580246913580325,0.24388824214202565,0.47802197802197804,0.49011857707509876,0,0,0,0,0,0
130,L47309,1,0.3913043478260789,0.3456790123456841,0.22759022118742733,0.4189560439560439,0.4980237154150197,0,0,0,0,0,0
131,L47310,1,0.38043478260869534,0.3333333333333357,0.17753201396973228,0.5123626373626373,0.5059288537549407,0,0,0,0,0,0
132,L47311,1,0.38043478260869534,0.3333333333333357,0.3311990686845169,0.3282967032967033,0.5138339920948616,0,0,0,0,0,0
133,M14992,2,0.36956521739129755,0.3333333333333357,0.1589057043073342,0.5412087912087912,0.5217391304347826,0,0,0,0,0,0
134,M14993,2,0.36956521739129755,0.3333333333333357,0.1525029103608848,0.6291208791208791,0.533596837944664,0,0,0,0,0,0
135,L47314,1,0.38043478260869534,0.3333333333333357,0.11699650756693836,0.6758241758241758,0.5454545454545454,0,0,0,0,0,0
136,M14995,2,0.38043478260869534,0.3456790123456841,0.31606519208381845,0.3392857142857143,0.5533596837944663,0,0,0,0,0,0
137,H29550,0,0.36956521739129755,0.3456790123456841,0.14668218859138538,0.5755494505494505,0.5652173913043478,0,0,0,0,0,0
138,L47317,1,0.36956521739129755,0.3580246913580325,0.07508731082654252,0.7074175824175823,0.5849802371541502,0,0,0,0,0,0
139,H29552,0,0.38043478260869534,0.3580246913580325,0.16356228172293374,0.6263736263736263,0.592885375494071,0,0,0,0,0,0
140,L47319,1,0.38043478260869534,0.3580246913580325,0.05820721769499426,0.7142857142857142,0.6126482213438734,0,0,0,0,0,0
141,L47320,1,0.38043478260869534,0.3580246913580325,0.19965075669383003,0.4436813186813187,0.6205533596837944,0,0,0,0,0,0
142,L47321,1,0.36956521739129755,0.3456790123456841,0.21885913853317818,0.4313186813186814,0.6284584980237153,0,0,0,0,0,0
143,M15002,2,0.35869565217391397,0.3333333333333357,0.35506402793946445,0.33516483516483514,0.6363636363636364,0,0,0,0,0,0
144,H29557,0,0.35869565217391397,0.3333333333333357,0.1391152502910361,0.6414835164835164,0.6482213438735177,0,0,0,0,0,0
145,M15004,2,0.35869565217391397,0.3333333333333357,0.12980209545983712,0.5302197802197801,0.6679841897233201,0,0,0,0,0,0
146,L47325,1,0.3478260869565162,0.3333333333333357,0.20081490104772992,0.4093406593406594,0.6798418972332015,0,0,0,0,0,0
147,H29560,0,0.3478260869565162,0.3333333333333357,0.25844004656577424,0.4436813186813187,0.6877470355731224,0,0,0,0,0,0
148,L47327,1,0.3369565217391255,0.3333333333333357,0.2019790454016298,0.4986263736263737,0.7075098814229248,0,0,0,0,0,0
149,M15008,2,0.3260869565217348,0.3209876543209944,0.1228172293364378,0.6071428571428571,0.7154150197628458,0,0,0,0,0,0
150,L47329,1,0.3369565217391255,0.3209876543209944,0.17753201396973228,0.49587912087912084,0.7272727272727272,0,0,0,0,0,0
151,L47330,1,0.3369565217391255,0.3209876543209944,0.14784633294528526,0.5343406593406593,0.7351778656126482,0,0,0,0,0,0
152,M15011,2,0.3369565217391255,0.308641975308646,0.17171129220023285,0.46428571428571436,0.7430830039525691,0,0,0,0,0,0
153,M15012,2,0.3369565217391255,0.308641975308646,0.24214202561117582,0.510989010989011,0.7549407114624506,0,0,0,0,0,0
154,L47333,1,0.3369565217391255,0.308641975308646,0.3969732246798604,0.3186813186813187,0.7667984189723319,0,0,0,0,0,0
155,L47334,1,0.3369565217391255,0.308641975308646,0.20954598370197908,0.4450549450549451,0.7747035573122529,0,0,0,0,0,0
156,H29569,0,0.3369565217391255,0.308641975308646,0.47671711292200236,0.21978021978021983,0.7826086956521738,0,0,0,0,0,0
157,M15016,2,0.3369565217391255,0.2962962962963047,0.19033760186263105,0.5796703296703296,0.8023715415019762,0,0,0,0,0,0
158,H29571,0,0.3369565217391255,0.308641975308646,0.180442374854482,0.5453296703296703,0.8142292490118577,0,0,0,0,0,0
159,M15018,2,0.3369565217391255,0.308641975308646,0.19266589057043082,0.4972527472527473,0.83399209486166,0,0,0,0,0,0
160,L47339,1,0.3369565217391255,0.308641975308646,0.1763678696158324,0.5934065934065934,0.8458498023715414,0,0,0,0,0,0
161,L47340,1,0.3369565217391255,0.308641975308646,0.06635622817229336,0.7815934065934066,0.8537549407114624,1,0,0,0,1,0
162,L47341,1,0.3260869565217348,0.2962962962963047,0.14202561117578583,0.6662087912087912,0.8616600790513833,1,0,0,0,1,0
163,L47342,1,0.3260869565217348,0.2962962962963047,0.2433061699650757,0.43543956043956045,0.0,0,0,0,0,0,0
164,M15023,2,0.3369565217391255,0.308641975308646,0.17462165308498256,0.5494505494505494,0.007905138339920948,0,0,0,0,0,0
165,M15024,2,0.3478260869565162,0.3209876543209944,0.15832363213038425,0.5467032967032966,0.01976284584980237,0,0,0,0,0,0
166,L47345,1,0.3478260869565162,0.3333333333333357,0.3288707799767171,0.30494505494505497,0.03162055335968379,0,0,0,0,0,0
167,H29580,0,0.3369565217391255,0.308641975308646,0.25844004656577424,0.39560439560439564,0.03952569169960474,0,0,0,0,0,0
168,H29581,0,0.3369565217391255,0.3209876543209944,0.16880093131548313,0.5370879120879121,0.05928853754940711,0,0,0,0,0,0
169,L47348,1,0.3369565217391255,0.3209876543209944,0.15424912689173464,0.8035714285714285,0.07905138339920947,1,0,0,1,0,0
170,L47349,1,0.3369565217391255,0.3209876543209944,0.08731082654249134,0.7596153846153846,0.08695652173913043,0,0,0,0,0,0
171,M15030,2,0.3369565217391255,0.308641975308646,0.25727590221187435,0.4285714285714286,0.09486166007905138,0,0,0,0,0,0
172,L47351,1,0.3152173913043441,0.2962962962963047,0.1711292200232829,0.6456043956043955,0.1067193675889328,0,0,0,0,0,0
173,M15032,2,0.30434782608695343,0.2839506172839492,0.440046565774156,0.23351648351648352,0.11462450592885375,0,0,0,0,0,0
174,M15033,2,0.3152173913043441,0.2839506172839492,0.24621653084982542,0.41071428571428575,0.12648221343873517,0,0,0,0,0,0
175,L47354,1,0.3152173913043441,0.2962962962963047,0.08032596041909201,0.7486263736263735,0.13833992094861658,0,0,0,0,0,0
176,L47355,1,0.3152173913043441,0.2962962962963047,0.12456344586728763,0.5453296703296703,0.14624505928853754,0,0,0,0,0,0
177,L47356,1,0.3152173913043441,0.2962962962963047,0.2619324796274739,0.4244505494505495,0.1541501976284585,0,0,0,0,0,0
178,L47357,1,0.3152173913043441,0.308641975308646,0.4772991850989524,0.24175824175824173,0.16205533596837943,0,0,0,0,0,0
179,L47358,1,0.3152173913043441,0.308641975308646,0.15599534342258448,0.6373626373626373,0.16996047430830039,0,0,0,0,0,0
180,L47359,1,0.3152173913043441,0.3209876543209944,0.07916181606519213,0.6318681318681317,0.17786561264822134,0,0,0,0,0,0
181,L47360,1,0.3152173913043441,0.3209876543209944,0.17869615832363217,0.6332417582417582,0.18577075098814227,0,0,0,0,0,0
182,H29595,0,0.3152173913043441,0.3209876543209944,0.38183934807916187,0.2802197802197802,0.19367588932806323,0,0,0,0,0,0
183,M15042,2,0.30434782608695343,0.308641975308646,0.10128055878928988,0.6085164835164835,0.2134387351778656,0,0,0,0,0,0
184,L47363,1,0.30434782608695343,0.308641975308646,0.1845168800931316,0.5068681318681318,0.225296442687747,0,0,0,0,0,0
185,L47364,1,0.3152173913043441,0.308641975308646,0.29045401629802103,0.36813186813186816,0.23320158102766797,0,0,0,0,0,0
186,L47365,1,0.3152173913043441,0.308641975308646,0.1618160651920839,0.47252747252747257,0.24110671936758893,0,0,0,0,0,0
187,L47366,1,0.30434782608695343,0.3209876543209944,0.0774155995343423,0.7170329670329669,0.24901185770750986,0,0,0,0,0,0
188,L47367,1,0.3152173913043441,0.3333333333333357,0.1228172293364378,0.5398351648351648,0.2569169960474308,0,0,0,0,0,0
189,L47368,1,0.3260869565217348,0.3456790123456841,0.2549476135040746,0.4093406593406594,0.26482213438735175,0,0,0,0,0,0
190,M15049,2,0.3260869565217348,0.3333333333333357,0.21594877764842846,0.5439560439560439,0.2727272727272727,0,0,0,0,0,0
191,L47370,1,0.3152173913043441,0.3333333333333357,0.17986030267753206,0.6332417582417582,0.2845849802371541,0,0,0,0,0,0
192,L47371,1,0.3152173913043441,0.3333333333333357,0.2898719441210711,0.42307692307692313,0.2924901185770751,0,0,0,0,0,0
193,H29606,0,0.3152173913043441,0.3333333333333357,0.13387660069848661,0.6593406593406592,0.30039525691699603,0,0,0,0,0,0
194,H29607,0,0.3152173913043441,0.3333333333333357,0.2968568102444704,0.42307692307692313,0.3201581027667984,0,0,0,0,0,0
195,M15054,2,0.3152173913043441,0.3456790123456841,0.878928987194412,0.09478021978021976,0.33992094861660077,1,0,0,1,0,0
196,L47375,1,0.3260869565217348,0.3456790123456841,0.1658905704307334,0.5370879120879121,0.3517786561264822,0,0,0,0,0,0
197,H29610,0,0.3260869565217348,0.3580246913580325,0.1536670547147847,0.6277472527472527,0.35968379446640314,0,0,0,0,0,0
198,M15057,2,0.3369565217391255,0.3580246913580325,0.20896391152502913,0.5096153846153846,0.3794466403162055,0,0,0,0,0,0
199,L47378,1,0.3369565217391255,0.3703703703703738,0.2444703143189756,0.4285714285714286,0.3913043478260869,0,0,0,0,0,0
200,L47379,1,0.3369565217391255,0.3580246913580325,0.15424912689173464,0.5947802197802198,0.3992094861660079,0,0,0,0,0,0
201,L47380,1,0.3369565217391255,0.3580246913580325,0.2566938300349244,0.4285714285714286,0.40711462450592883,0,0,0,0,0,0
202,L47381,1,0.3260869565217348,0.3456790123456841,0.23690337601862632,0.5137362637362637,0.4150197628458498,0,0,0,0,0,0
203,M15062,2,0.3369565217391255,0.3456790123456841,0.2724097788125728,0.43818681318681324,0.4229249011857707,0,0,0,0,0,0
204,L47383,1,0.3369565217391255,0.3456790123456841,0.18742724097788133,0.46840659340659335,0.43478260869565216,0,0,0,0,0,0
205,L47384,1,0.3369565217391255,0.3456790123456841,0.33352735739231665,0.3983516483516483,0.4426877470355731,0,0,0,0,0,0
206,M15065,2,0.3478260869565162,0.3580246913580325,0.10244470314318976,0.6758241758241758,0.450592885375494,0,0,0,0,0,0
207,L47386,1,0.3478260869565162,0.3703703703703738,0.2566938300349244,0.43269230769230765,0.4624505928853755,0,0,0,0,0,0
208,M15067,2,0.3369565217391255,0.3703703703703738,0.14726426076833532,0.7815934065934066,0.4703557312252964,1,0,0,1,0,0
209,L47388,1,0.3369565217391255,0.3580246913580325,0.24621653084982542,0.4519230769230769,0.48221343873517786,0,0,0,0,0,0
210,L47389,1,0.3369565217391255,0.3580246913580325,0.17986030267753206,0.5521978021978021,0.49011857707509876,0,0,0,0,0,0
211,L47390,1,0.3369565217391255,0.3703703703703738,0.20663562281722936,0.4436813186813187,0.4980237154150197,0,0,0,0,0,0
212,L47391,1,0.3478260869565162,0.3703703703703738,0.23690337601862632,0.41346153846153844,0.5059288537549407,0,0,0,0,0,0
213,H29626,0,0.3369565217391255,0.3703703703703738,0.10244470314318976,0.6744505494505494,0.5138339920948616,0,0,0,0,0,0
